epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2662,0.82061,2.8011,0.94913,0.97723,0.97994,0.99359,0.82784,0.64938,0.52164,0.86189,0.000175111,0.000175111,0.000175111
2,140.521,0.66477,0.97722,0.8681,0.98819,0.988,0.99453,0.86121,0.57326,0.42581,0.83839,0.000315751,0.000315751,0.000315751
3,207.339,0.62876,0.58931,0.85865,0.99151,0.99586,0.99484,0.86324,0.57211,0.38647,0.83752,0.000421674,0.000421674,0.000421674
4,273.743,0.58531,0.44955,0.84916,0.99546,0.99839,0.99499,0.88273,0.51344,0.33937,0.82385,0.000369778,0.000369778,0.000369778
5,340.176,0.53736,0.37572,0.83596,0.99766,0.99886,0.995,0.90005,0.47084,0.30771,0.81415,0.000317704,0.000317704,0.000317704
6,406.709,0.49604,0.33021,0.82309,0.99743,0.99828,0.99499,0.91617,0.43117,0.27741,0.80526,0.00026563,0.00026563,0.00026563
7,473.096,0.45571,0.29392,0.81442,0.99868,0.99958,0.99499,0.9274,0.40241,0.24859,0.79904,0.000213556,0.000213556,0.000213556
8,539.435,0.42264,0.26879,0.80719,0.99914,0.99961,0.995,0.93556,0.37761,0.23735,0.79391,0.000161482,0.000161482,0.000161482
9,605.972,0.39106,0.24647,0.80139,0.99948,0.99988,0.995,0.94437,0.34817,0.21672,0.78972,0.000109408,0.000109408,0.000109408
10,672.528,0.3628,0.22769,0.79417,0.99949,0.99999,0.995,0.95202,0.33331,0.20533,0.78545,5.7334e-05,5.7334e-05,5.7334e-05
